key,title,authors,year,venue,doi,topic,summary
ecker2022,The psychological drivers of misinformation belief and its resistance to correction,"Ecker U K H, Lewandowsky S, Cook J, Schmid P, Fazio L K, Brashier N, Kendeou P, Vraga E K, Amazeen M A",2022,Nature Reviews Psychology,10.1038/s44159-021-00006-y,misinformation-hallucination,"Canonical review of why misinformation sticks — cognitive, social, and affective drivers, barriers to correction, prebunking/debunking interventions. (Nature Reviews Psychology, 2022)"
spitale2023,AI model GPT-3 (dis)informs us better than humans,"Spitale G, Biller-Andorno N, Germani F",2023,Science Advances,10.1126/sciadv.adh1850,misinformation-hallucination,"N=697: GPT-3 disinformation is more believable than human-written, and people cannot tell AI tweets from human ones. (Science Advances, 2023)"
claverie2022,The Cognitive Warfare Concept,"Claverie B, du Cluzel F",2022,NATO ACT Innovation Hub,,cognitive-security-frameworks,"Defines cognitive warfare as exploitation of human cognition as a warfighting domain; the core NATO ACT concept paper. (NATO ACT Innovation Hub, 2022)"
du2021,Cognitive Warfare,du Cluzel F,2021,NATO ACT Innovation Hub,10.31219/osf.io/ynfzr,cognitive-security-frameworks,"Full NATO Innovation Hub study of cognitive warfare: threat landscape, techniques, and implications for NATO. (NATO ACT Innovation Hub, Jan 2021)"
kosmyna2025,Your Brain on ChatGPT: Accumulation of Cognitive Debt when Using an AI Assistant for Essay Writing Task,"Kosmyna N, Hauptmann E, Yuan Y T, Situ J, Liao X-H, et al.",2025,"MIT Media Lab, arXiv",10.48550/arxiv.2506.08872,cognitive-offloading,"EEG study (N=54, 4 months): LLM-assisted essay writing shows weakest brain connectivity and poorest recall of own text — 'cognitive debt' from offloading. (MIT Media Lab, arXiv 2025; methodology debated)"
dietvorst2014,Algorithm Aversion: People Erroneously Avoid Algorithms After Seeing Them Err,"Dietvorst B J, Simmons J P, Massey C",2014,JEP: General,10.2139/ssrn.2466040,algorithm-aversion,"Five studies: people abandon algorithms after seeing them err, even when the algorithm outperforms humans. (JEP: General 2015; preprint 2014)"
dietvorst2016,Overcoming Algorithm Aversion: People Will Use Imperfect Algorithms If They Can (Even Slightly) Modify Them,"Dietvorst B J, Simmons J P, Massey C",2016,Management Science,10.2139/ssrn.2616787,algorithm-aversion,People will use imperfect algorithms if allowed to slightly modify their outputs — a practical fix for algorithm aversion. (Management Science 2018; preprint 2016)
ibrahim2026,Multi-turn Evaluation of Anthropomorphic Behaviours in Large Language Models,"Ibrahim L, Akbulut C, Elasmar R, Rastogi C, Kahng M, Morris M R, McKee K R, Rieser V, et al.",2026,ICLR,10.48550/arxiv.2502.07077,anthropomorphism,"Benchmark measuring anthropomorphic behaviours (relationship-building, personhood claims) across multi-turn LLM conversations. (ICLR 2026)"
chalkidis2026,Brainrot: Deskilling and Addiction are Overlooked AI Risks,"Chalkidis I, Søgaard A",2026,"U Copenhagen, arXiv",10.1145/3805689.3812306,cognitive-offloading,"Position paper: deskilling and addiction are neglected AI-safety risks; surveys mechanisms and mitigation directions. (U Copenhagen, arXiv 2026)"
costello2026,Large language models can effectively convince people to believe conspiracies,"Costello T H, Pelrine K, Kowal M, Arechar A A, Godbout J-F, Gleave A, Rand D, Pennycook G",2026,arXiv,10.48550/arxiv.2601.05050,persuasion-manipulation,"GPT-4 dialogues persuaded people INTO conspiracy beliefs — the symmetric threat to the 2024 debunking result. (arXiv, Jan 2026)"
buinca2021,To Trust or to Think: Cognitive Forcing Functions Can Reduce Overreliance on AI in AI-assisted Decision-making,"Buçinca Z, Malaya M B, Gajos K Z",2021,PACM HCI/CSCW,10.48550/arxiv.2102.09692,trust-calibration,"Cognitive forcing functions (delays, forced independent judgment) reduce overreliance on AI where explanations fail. (PACM HCI/CSCW, 2021)"
park2023,"AI Deception: A Survey of Examples, Risks, and Potential Solutions","Park P S, Goldstein S, O'Gara A, Chen M, Hendrycks D",2023,Patterns,10.1016/j.patter.2024.100988,deception-detection,"Survey of empirical AI deception (bluffing, feints, deceptive alignment) with risk taxonomy and policy responses. (Patterns 2024; arXiv 2023)"
phang2025,Investigating Affective Use and Emotional Well-being on ChatGPT,"Phang J, Lampe M, Ahmad L, Agarwal S, Fang C M, Liu A R, Danry V, Lee E, Chan S, Maes P",2025,arXiv,10.48550/arxiv.2504.03888,emotional-dependency,"OpenAI/MIT analysis of ~4M conversations + 4,076-user survey: heavy use correlates with loneliness, emotional dependence, and problematic use. (arXiv, 2025)"
kidd2023,How AI can distort human beliefs,"Kidd C, Birhane A",2023,Science,10.1126/science.adi0248,misinformation-hallucination,"Science policy forum: generative models distort human beliefs through normal use — fabrication and bias transmit to users without bad actors. (Science, 2023)"
salvi2024,On the Conversational Persuasiveness of Large Language Models: A Randomized Controlled Trial,"Salvi F, Ribeiro M H, Gallotti R, West R",2024,arXiv,10.21203/rs.3.rs-4429707/v1,persuasion-manipulation,RCT (N=820): GPT-4 with access to opponents' demographics raised odds of agreement 81.7% vs human persuaders — personalized AI persuasion at scale. (arXiv 2024; Nature Human Behaviour 2025)
rosenberg2023,The Manipulation Problem: Conversational AI as a Threat to Epistemic Agency,Rosenberg L,2023,GenAICHI,10.48550/arxiv.2306.11748,persuasion-manipulation,"Frames the 'AI manipulation problem': real-time conversational agents as a threat to epistemic agency; calls for regulatory protections. (GenAICHI, 2023)"
mehrotra2023,"A Systematic Review on Fostering Appropriate Trust in Human-AI Interaction: Trends, Opportunities and Challenges","Mehrotra S, Degachi C, Vereschak O, Jonker C M, Tielman M L",2023,arXiv,10.1145/3696449,trust-calibration,"Systematic review of interventions for calibrating human trust in AI: trends, gaps, and design opportunities. (arXiv 2023; ACM THRI 2024)"
chan2024,Conversational AI Powered by Large Language Models Amplifies False Memories in Witness Interviews,"Chan S W T, Pataranutaporn P, Suri A, Zulfikar W, Maes P, Loftus E F",2024,"MIT Media Lab / UC Irvine, arXiv",10.21428/cb6ab371.6ae390a8,misinformation-hallucination,"N=200 simulated witness interviews: a generative chatbot induced 3x more immediate false memories than control; 36.4% of users misled; effects persisted at one week. (MIT Media Lab / UC Irvine, arXiv 2024)"
ward2017,Brain Drain: The Mere Presence of One’s Own Smartphone Reduces Available Cognitive Capacity,"Ward A F, Duke K, Gneezy A, Bos M W",2017,JACR,10.1086/691462,cognitive-load,"Two experiments: the mere presence of one's own smartphone occupies limited cognitive resources, reducing available capacity — worst for the most dependent users. (JACR, 2017)"
risko2016,Cognitive Offloading,"Risko E F, Gilbert S J",2016,Trends in Cognitive Sciences,10.1016/j.tics.2016.07.002,cognitive-offloading,"The foundational framework: offloading as using physical action to alter information-processing demands; sets the research agenda on costs/benefits. (Trends in Cognitive Sciences, 2016)"
sharma2024,Towards Understanding Sycophancy in Language Models,"Sharma M, Tong M, Korbak T, Duvenaud D, Askell A, Bowman S R, et al.",2024,"Anthropic, ICLR",10.48550/arxiv.2310.13548,sycophancy,"Five SOTA assistants show consistent sycophancy across free-form tasks; human preference data itself rewards belief-matching over truth — the RLHF origin story. (Anthropic, ICLR 2024)"
cheng2025,ELEPHANT: Measuring and Understanding Social Sycophancy in LLMs,"Cheng M, Yu S, Lee C, Khadpe P, Ibrahim L, Jurafsky D",2025,"Stanford/Oxford, arXiv",10.48550/arxiv.2505.13995,sycophancy,"Extends sycophancy beyond propositional agreement to face-preserving social behaviors; LLMs preserve user face far more than humans do. (Stanford/Oxford, arXiv 2025)"
bottger2023,Does the Brain Drain Effect Really Exist? A Meta-Analysis,"Böttger T, Poschik M, Zierer K",2023,Behavioral Sciences,10.3390/bs13090751,cognitive-load,"Meta-analysis of smartphone-presence studies: overall brain-drain effect smaller and less consistent than originally claimed — the counterweight to Ward et al. (Behavioral Sciences, 2023)"
epley2007,On Seeing Human: A Three-Factor Theory of Anthropomorphism,"Epley N, Waytz A, Cacioppo J T",2007,Psychological Review,10.1037/0033-295x.114.4.864,anthropomorphism,"The canonical three-factor theory: elicited agent knowledge, effectance motivation, and sociality motivation determine when people anthropomorphize. (Psychological Review, 2007)"
nass2000,Machines and Mindlessness: Social Responses to Computers,"Nass C, Moon Y",2000,Journal of Social Issues,10.1111/0022-4537.00153,anthropomorphism,"The Computers-Are-Social-Actors paradigm: people mindlessly apply social rules (politeness, reciprocity, gender stereotypes) to machines. (Journal of Social Issues, 2000)"
dohnany2025,Technological folie à deux: Feedback Loops Between AI Chatbots and Mental Health,"Dohnány S, Kurth-Nelson Z, Spens E, Luettgau L, Reid A, Gabriel I, Summerfield C, Shanahan M, Nour M M",2025,Oxford/UCL/DeepMind; Nature Mental Health,10.1038/s44220-026-00595-8,emotional-dependency,Mechanistic account of 'AI psychosis': bidirectional belief amplification between sycophantic chatbots and vulnerable users; altered belief updating and impaired reality-testing raise risk. (Oxford/UCL/DeepMind; Nature Mental Health 2026)
shanahan2023,Role play with large language models,"Shanahan M, McDonell K, Reynolds L",2023,Nature,10.1038/s41586-023-06647-8,mental-models,"How to conceive of LLM behavior (role-play, superposition of simulacra) without either naive anthropomorphism or dismissing emergent agency. (Nature, 2023)"
auyeung2025,"The Psychogenic Machine: Simulating AI Psychosis, Delusion Reinforcement and Harm Enablement in Large Language Models","Au Yeung J, Dalmasso J, Foschini L, Dobson R J B, Kraljevic Z",2025,"KCL/UCL, arXiv",10.48550/arxiv.2509.10970,emotional-dependency,"Psychosis-bench: benchmarks delusion confirmation and harm enablement across LLMs in simulated psychosis-relevant conversations. (KCL/UCL, arXiv 2025)"
laestadius2022,Too Human and Not Human Enough: A Grounded Theory Analysis of Mental Health Harms from Emotional Dependence on the Social Chatbot Replika,"Laestadius L, Bishop A, Gonzalez M, Illenčík D, Campos-Castillo C",2022,New Media & Society,10.1177/14614448221142007,parasocial-relationships,"Grounded-theory analysis of Reddit posts: emotional dependence on Replika produced distinct mental-health harms when the bot changed or failed to reciprocate. (New Media & Society, 2022)"
kobis2021,Bad Machines Corrupt Good Morals,"Köbis N, Bonnefon J-F, Rahwan I",2021,Nature Human Behaviour,10.1038/s41562-021-01128-2,decision-making,"Four social roles (role model, advisor, partner, delegate) through which AI corrupts human ethics; AI enablers let people profit unethically while feeling good. (Nature Human Behaviour, 2021)"
krugel2023,ChatGPT’s inconsistent moral advice influences users’ judgment,"Krügel S, Ostermaier A, Uhl M",2023,Scientific Reports,10.1038/s41598-023-31341-0,decision-making,"ChatGPT gives inconsistent moral advice, yet it sways users' trolley-problem judgments even when they know it's a bot — and they underestimate the influence. (Scientific Reports, 2023)"
vallor2014,Moral Deskilling and Upskilling in a New Machine Age: Reflections on the Ambiguous Future of Character,Vallor S,2014,Philosophy & Technology,10.1007/s13347-014-0156-9,cognitive-offloading,"Automation of moral labor (drones, care robots, algorithmic decisions) risks atrophy of practical moral wisdom — the moral-skills analogue of cognitive deskilling. (Philosophy & Technology, 2014)"
doshi2024,Generative AI Enhances Individual Creativity but Reduces the Collective Diversity of Novel Content,"Doshi A R, Hauser O P",2024,Science Advances,10.1126/sciadv.adn5290,cognitive-drift,"Online writing experiment: AI ideas raise individual story creativity (most for weak writers) while making the population of stories more similar — individual gain, collective homogenization. (Science Advances, 2024)"
traberg2022,Psychological Inoculation against Misinformation: Current Evidence and Future Directions,"Traberg C S, Roozenbeek J, van der Linden S",2022,ANNALS AAPSS,10.1177/00027162221087936,ai-literacy,"Review of inoculation theory as scalable defense: prebunking manipulation techniques confers psychological resistance before exposure. (ANNALS AAPSS, 2022)"
passi2022,Overreliance on AI: Literature Review,"Passi S, Vorvoreanu M",2022,Microsoft Research,,trust-calibration,"Microsoft's mitigation catalog: what drives overreliance (explanations, confidence, task factors) and which interventions measurably reduce it. (Microsoft Research, 2022)"
tankelevitch2024,The Metacognitive Demands and Opportunities of Generative AI,"Tankelevitch L, Kewenig V, Simkute A, Scott A E, Sarkar A, Sellen A, Rintel S",2024,"Microsoft Research/UCL, CHI",10.1145/3613904.3642902,metacognition,"GenAI imposes high metacognitive demands (prompting, output evaluation, workflow control); proposes metacognitive support as a core protective design principle. (Microsoft Research/UCL, CHI 2024)"
toolsforthought2025,"Understanding, Protecting, and Augmenting Human Cognition with Generative AI: A Synthesis of the CHI 2025 Tools for Thought Workshop","Tankelevitch L, Glassman E L, He J, Kittur A, Lee M, et al.",2025,arXiv,10.48550/arxiv.2508.21036,metacognition,"Synthesis of the CHI 2025 Tools for Thought workshop: research agenda for understanding, protecting, and augmenting human cognition under generative AI. (arXiv, 2025)"
vaccaro2024,When Are Combinations of Humans and AI Useful? A Systematic Review and Meta-Analysis,"Vaccaro M, Almaatouq A, Malone T",2024,Nature Human Behaviour,10.1038/s41562-024-02024-1,human-ai-teaming,"Meta-analysis of 106 studies / 370 effect sizes: on average human-AI teams underperform the best of either alone; losses in decision tasks, gains in creation tasks. (Nature Human Behaviour, 2024)"
komissarov2026,From Diagnosis to Inoculation: Building Cognitive Resistance to AI Disempowerment,Komissarov A,2026,arXiv,10.48550/arxiv.2602.15265,epistemic-autonomy,"AI literacy framework of eight cross-cutting Learning Outcomes building cognitive resistance to AI disempowerment (reality, value-judgment, and action distortion) — inoculation pedagogy for epistemic autonomy. (arXiv, Feb 2026)"
roozenbeek2022,Psychological Inoculation Improves Resilience Against Misinformation on Social Media,"Roozenbeek J, van der Linden S, Goldberg B, Rathje S, Lewandowsky S",2022,Science Advances,10.1126/sciadv.abo6254,misinformation-hallucination,"Five short prebunking videos teaching manipulation techniques improved discernment in lab and in a ~1M-view YouTube field test — the scalability evidence for inoculation. (Science Advances, 2022)"
hackenburg2024,Evaluating the persuasive influence of political microtargeting with large language models,"Hackenburg K, Margetts H",2024,PNAS,10.31219/osf.io/wnt8b,persuasion-manipulation,"Preregistered RCT (N=8,587): GPT-4 messages broadly persuasive (up to +12 points), but microtargeting added no significant benefit over generic messages — a key negative result. (PNAS, 2024)"
hackenburg2025,The Levers of Political Persuasion with Conversational Artificial Intelligence,"Hackenburg K, Tappin B M, Hewitt L, Saunders E, Black S, Lin H, Fist C, Margetts H, Rand D G, Summerfield C",2025,Science,10.1126/science.aea3884,persuasion-manipulation,"Large-scale experiments decomposing what makes conversational AI persuasive: information density and personalization levers quantified across models. (Science, Dec 2025)"
matz2024,The potential of generative AI for personalized persuasion at scale,"Matz S C, Teeny J D, Vaid S S, Peters H, Harari G M, Cerf M",2024,Scientific Reports,10.31234/osf.io/rn97c,persuasion-manipulation,"ChatGPT-generated messages tailored to psychological profiles were significantly more persuasive across domains — personality-based persuasion automated at scale. (Scientific Reports, 2024)"
hackenburgb2025,Scaling Language Model Size Yields Diminishing Returns for Single-Message Political Persuasion,"Hackenburg K, Tappin B M, Röttger P, Hale S A, Bright J, Margetts H",2025,PNAS,10.1073/pnas.2413443122,persuasion-manipulation,"Across 24 models, persuasive power grows log-linearly then plateaus: frontier scale adds little single-message persuasion beyond current models. (PNAS, 2025)"
boissin2025,Dialogues with large language models reduce conspiracy beliefs even when the AI is perceived as human,"Boissin E, Costello T H, Spinoza-Martín D, Rand D G, Pennycook G",2025,PNAS Nexus,10.31234/osf.io/apmb5_v4,persuasion-manipulation,"Debunking dialogues reduce conspiracy beliefs equally when the AI is labeled human — the effect rides on evidence quality, not source identity. (PNAS Nexus, 2025)"
brinkmann2023,Machine Culture,"Brinkmann L, Baumann F, Bonnefon J-F, Derex M, Müller T F, Nussberger A-M, Czaplicka A, Acerbi A, Griffiths T L, Henrich J, et al., Rahwan I",2023,Nature Human Behaviour,10.1038/s41562-023-01742-2,cognitive-drift,"Framework for how intelligent machines transform cultural evolution — variation, transmission, and selection — with a research agenda for machine-mediated culture. (Nature Human Behaviour, 2023)"
casper2023,Open Problems and Fundamental Limitations of Reinforcement Learning from Human Feedback,"Casper S, Davies X, Shi C, Gilbert T K, Scheurer J, Rando J, Freedman R, Korbak T, et al.",2023,arXiv,10.48550/arxiv.2307.15217,cognitive-security-frameworks,"Systematic survey of RLHF's open problems and fundamental limitations — the root-cause document for why preference optimization yields sycophancy and reward hacking. (arXiv, 2023)"
green2022,The Flaws of Policies Requiring Human Oversight of Government Algorithms,Green B,2022,Computer Law & Security Review,10.2139/ssrn.3921216,automation-bias,"Survey of 41 policies: people cannot perform the oversight functions law assumes, so oversight requirements legitimize flawed algorithms; proposes institutional oversight instead. (Computer Law & Security Review, 2022)"
kirk2023,Personalisation within bounds: A risk taxonomy and policy framework for the alignment of large language models with personalised feedback,"Kirk H R, Vidgen B, Röttger P, Hale S A",2023,arXiv,10.48550/arxiv.2303.05453,persuasion-manipulation,"Risk taxonomy and policy framework for personalised LLMs: benefits, risks, and bounded-personalisation governance. (arXiv 2023; Nature Machine Intelligence 2024)"
rahwan2019,Machine Behaviour,"Rahwan I, Cebrian M, Obradovich N, Bongard J, Bonnefon J-F, Breazeal C, et al.",2019,Nature,10.1038/s41586-019-1138-y,cognitive-security-frameworks,"Field-defining manifesto: study AI systems as behavioral agents with ecology and evolution, not just engineered artifacts — the methodological foundation for human-machine behavior research. (Nature, 2019)"
groh2021,"Deepfake Detection by Human Crowds, Machines, and Machine-Informed Crowds","Groh M, Epstein Z, Firestone C, Picard R",2021,PNAS,10.1073/pnas.2110013119,deception-detection,"Ordinary crowds match the leading deepfake model; machine-informed crowds do best, but wrong model advice sways people — collaboration beats either alone. (PNAS, 2022)"
fisher2015,Searching for Explanations: How the Internet Inflates Estimates of Internal Knowledge,"Fisher M, Goddu M K, Keil F C",2015,JEP: General,10.1037/xge0000070,cognitive-offloading,"Nine experiments: searching online inflates people's sense of their own internal knowledge — access mistaken for understanding. (JEP: General, 2015)"
yakura2025,Empirical evidence of Large Language Model’s influence on human spoken communication,"Yakura H, Lopez-Lopez E, Brinkmann L, Serna I, Gupta P, Soraperra I, Rahwan I",2025,"Max Planck CHM, arXiv",10.48550/arxiv.2409.01754,cognitive-drift,"740,000 hours of academic talks and podcasts: measurable shift toward ChatGPT-associated word usage after its release — first causal evidence of AI reshaping human spoken language. (Max Planck CHM, arXiv)"
messeri2024,Artificial intelligence and illusions of understanding in scientific research,"Messeri L, Crockett M J",2024,Nature,10.1038/s41586-024-07146-0,metacognition,"Taxonomy of scientists' visions for AI (oracle, surrogate, quant, arbiter); AI tools exploit researchers' cognitive limits, producing illusions of understanding and scientific monocultures. (Nature, 2024)"
